Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,Acceleration,v^2 (m^2/s^4),F_lost (N)
2023-05-06 20:35:52.204,11436,69.16666666666667,6,100,False,8,car,29.68,0 days 00:50:51.218000,1831.9455555555553,6.25,4784.027777777778,2108.9325436144572
2023-05-06 20:35:52.404,11600,70.55555555555556,6,100,False,8,car,29.88,0 days 00:50:51.418000,1846.0566666666664,5.563446969697047,4978.086419753086,2637.717030899483
2023-05-06 20:35:52.844,11092,71.66666666666667,6,100,False,8,car,30.32,0 days 00:50:51.858000,1877.59,4.107042648709296,5136.111111111112,3421.2367485480286
2023-05-06 20:35:54.164,11110,76.66666666666667,7,100,False,8,car,31.64,0 days 00:50:53.178000,1976.6788888888884,3.4722222222222,5877.777777777778,3513.0585033816606
2023-05-06 20:35:54.404,11174,77.5,7,100,False,8,car,31.88,0 days 00:50:53.418000,1995.2788888888886,2.78540903540906,6006.25,4050.792759535211
2023-05-06 20:35:54.684,11280,78.05555555555556,7,100,False,8,car,32.16,0 days 00:50:53.698000,2017.1344444444442,1.538970288970262,6092.66975308642,5099.979687912689
2023-05-06 20:35:54.924,11351,78.33333333333333,7,100,False,8,car,32.4,0 days 00:50:53.938000,2035.9344444444444,2.0412457912457853,6136.11111111111,4700.47501369153
2023-05-06 20:35:55.124,11406,78.88888888888889,7,100,False,8,car,32.6,0 days 00:50:54.138000,2051.712222222222,2.5673400673400124,6223.456790123456,4249.550246079621
2023-05-06 20:35:55.364,11499,79.44444444444444,7,100,False,8,car,32.84,0 days 00:50:54.378000,2070.7788888888886,1.8097643097642901,6311.419753086419,4885.379441916618
2023-05-06 20:35:55.564,11557,79.72222222222221,7,100,False,8,car,33.04,0 days 00:50:54.578000,2086.7233333333324,1.620370370370395,6355.632716049381,5052.426050153548
2023-05-06 20:35:55.964,11650,80.55555555555556,7,100,False,8,car,33.44,0 days 00:50:54.978000,2118.945555555555,3.075396825396865,6489.197530864198,3829.5220280240496
2023-05-06 20:35:56.124,11697,81.11111111111111,7,100,False,8,car,33.6,0 days 00:50:55.138000,2131.9233333333327,2.2095959595959442,6579.0123456790125,4529.994903946325
2023-05-06 20:35:56.404,11725,81.11111111111111,7,100,False,8,car,33.88,0 days 00:50:55.418000,2154.634444444444,0.6751543209876729,6579.0123456790125,5818.8153587857105
2023-05-06 20:36:14.204,11888,42.5,3,100,False,8,car,51.68,0 days 00:51:13.218000,3284.248333333333,14.85339506172852,1806.25,15.603215628072576
2023-05-06 20:36:14.404,11708,45.27777777777778,3,100,False,8,car,51.88,0 days 00:51:13.418000,3293.3038888888887,10.995370370370324,2050.0771604938273,2285.0311452306687
2023-05-06 20:36:14.844,11325,49.72222222222222,4,100,False,8,car,52.32,0 days 00:51:13.858000,3314.692777777778,6.91438191438187,2472.2993827160494,4312.33330156584
2023-05-06 20:36:23.765,11369,43.61111111111111,3,100,False,8,car,61.241,0 days 00:51:22.779000,3585.0858333333344,14.322916666666664,1901.9290123456788,-383.76883690020986
2023-05-06 20:36:24.085,11256,47.77777777777778,4,100,False,8,car,61.561,0 days 00:51:23.099000,3600.374722222223,13.429330065359494,2282.716049382716,-749.7421719227987
2023-05-06 20:36:24.445,12043,52.77777777777778,4,100,False,8,car,61.921,0 days 00:51:23.459000,3619.374722222223,11.129757561222902,2785.4938271604938,832.0087698691987
2023-05-06 20:36:24.684,11254,55.0,4,100,False,8,car,62.16,0 days 00:51:23.698000,3632.5197222222237,6.848300289309975,3025.0,3345.6974822969623
2023-05-06 20:36:24.844,11082,55.83333333333333,5,100,False,8,car,62.32,0 days 00:51:23.858000,3641.4530555555566,6.828703703703638,3117.3611111111104,3091.2431712991147
2023-05-06 20:36:25.084,11466,58.05555555555556,5,100,False,8,car,62.56,0 days 00:51:24.098000,3655.38638888889,12.037037037037209,3370.4475308641977,-1275.0577926069127
2023-05-06 20:36:25.244,11466,60.27777777777778,5,100,False,8,car,62.72,0 days 00:51:24.258000,3665.030833333334,11.419753086419888,3633.4104938271607,-1084.027613986571
