Time,Velocity,Acceleration,RPM
81.756,51.666666666666664,8.564814814814703,11656
82.156,55.27777777777778,8.96942110177396,10505
82.436,57.77777777777778,3.7202380952379883,10925
82.636,57.77777777777778,9.645061728393898,11249
82.796,60.55555555555556,13.194444444443576,11358
83.036,62.22222222222222,8.06051587301603,11493
83.356,65.27777777777777,8.159722222222285,11933
83.636,67.22222222222221,6.9444444444444,10859
83.836,68.61111111111111,5.892255892255861,11076
84.076,69.72222222222221,4.133597883597915,11322
84.396,70.83333333333333,6.779100529100674,11524
84.636,73.05555555555556,6.944444444444514,11361
84.876,74.16666666666667,3.7615740740739767,10667
85.196,75.0,5.2751068376067565,10833
